1,1,0,131,17,22,-1,-1,-1,-1
1,2,0,10,32,14,-1,-1,-1,-1
2,1,10,131,17,22,-1,-1,-1,-1
2,2,6,10,32,14,-1,-1,-1,-1
3,1,21,131,17,22,-1,-1,-1,-1
3,2,12,10,32,14,-1,-1,-1,-1
4,1,32,131,17,22,-1,-1,-1,-1
4,2,19,10,32,14,-1,-1,-1,-1
5,1,43,131,17,22,-1,-1,-1,-1
5,2,25,10,32,14,-1,-1,-1,-1
6,1,54,131,17,22,-1,-1,-1,-1
6,2,32,10,32,14,-1,-1,-1,-1
7,1,64,131,17,22,-1,-1,-1,-1
7,2,38,10,32,14,-1,-1,-1,-1
8,1,75,131,17,22,-1,-1,-1,-1
8,2,44,10,32,14,-1,-1,-1,-1
9,1,86,131,17,22,-1,-1,-1,-1
9,2,51,10,32,14,-1,-1,-1,-1
9,3,21,28,27,17,-1,-1,-1,-1
9,4,17,2,24,19,-1,-1,-1,-1
10,1,97,131,17,22,-1,-1,-1,-1
10,2,57,10,32,14,-1,-1,-1,-1
10,3,28,28,27,17,-1,-1,-1,-1
10,4,23,2,24,19,-1,-1,-1,-1
11,1,108,131,17,22,-1,-1,-1,-1
11,2,64,10,32,14,-1,-1,-1,-1
11,3,35,28,27,17,-1,-1,-1,-1
11,4,28,2,24,19,-1,-1,-1,-1
12,1,118,131,17,22,-1,-1,-1,-1
12,2,70,10,32,14,-1,-1,-1,-1
12,3,42,28,27,17,-1,-1,-1,-1
12,4,34,2,24,19,-1,-1,-1,-1
13,1,129,131,17,22,-1,-1,-1,-1
13,2,76,10,32,14,-1,-1,-1,-1
13,3,50,28,27,17,-1,-1,-1,-1
13,4,40,2,24,19,-1,-1,-1,-1
14,1,140,131,17,22,-1,-1,-1,-1
14,2,83,10,32,14,-1,-1,-1,-1
14,3,57,28,27,17,-1,-1,-1,-1
14,4,46,2,24,19,-1,-1,-1,-1
14,5,36,221,98,36,-1,-1,-1,-1
14,6,28,78,41,29,-1,-1,-1,-1
15,1,151,131,17,22,-1,-1,-1,-1
15,2,89,10,32,14,-1,-1,-1,-1
15,3,64,28,27,17,-1,-1,-1,-1
15,4,52,2,24,19,-1,-1,-1,-1
15,5,49,221,98,36,-1,-1,-1,-1
15,6,38,78,41,29,-1,-1,-1,-1
16,1,162,131,17,22,-1,-1,-1,-1
16,2,96,10,32,14,-1,-1,-1,-1
16,3,71,28,27,17,-1,-1,-1,-1
16,4,57,2,24,19,-1,-1,-1,-1
16,5,61,221,98,36,-1,-1,-1,-1
16,6,47,78,41,29,-1,-1,-1,-1
17,1,172,131,17,22,-1,-1,-1,-1
17,2,102,10,32,14,-1,-1,-1,-1
17,3,78,28,27,17,-1,-1,-1,-1
17,4,63,2,24,19,-1,-1,-1,-1
17,5,73,221,98,36,-1,-1,-1,-1
17,6,57,78,41,29,-1,-1,-1,-1
18,1,183,131,17,22,-1,-1,-1,-1
18,2,109,10,32,14,-1,-1,-1,-1
18,3,85,28,27,17,-1,-1,-1,-1
18,4,69,2,24,19,-1,-1,-1,-1
18,5,86,221,98,36,-1,-1,-1,-1
18,6,66,78,41,29,-1,-1,-1,-1
19,1,194,131,17,22,-1,-1,-1,-1
19,2,115,10,32,14,-1,-1,-1,-1
19,3,93,28,27,17,-1,-1,-1,-1
19,4,75,2,24,19,-1,-1,-1,-1
19,5,98,221,98,36,-1,-1,-1,-1
19,6,76,78,41,29,-1,-1,-1,-1
19,7,21,14,58,47,-1,-1,-1,-1
19,8,16,1,12,23,-1,-1,-1,-1
20,1,205,131,17,22,-1,-1,-1,-1
20,2,121,10,32,14,-1,-1,-1,-1
20,3,100,28,27,17,-1,-1,-1,-1
20,4,80,2,24,19,-1,-1,-1,-1
20,5,110,221,98,36,-1,-1,-1,-1
20,6,85,78,41,29,-1,-1,-1,-1
20,7,29,14,58,47,-1,-1,-1,-1
20,8,21,1,12,23,-1,-1,-1,-1
21,1,216,131,17,22,-1,-1,-1,-1
21,2,128,10,32,14,-1,-1,-1,-1
21,3,107,28,27,17,-1,-1,-1,-1
21,4,86,2,24,19,-1,-1,-1,-1
21,5,123,221,98,36,-1,-1,-1,-1
21,6,95,78,41,29,-1,-1,-1,-1
21,7,36,14,58,47,-1,-1,-1,-1
21,8,26,1,12,23,-1,-1,-1,-1
22,1,226,131,17,22,-1,-1,-1,-1
22,2,134,10,32,14,-1,-1,-1,-1
22,3,114,28,27,17,-1,-1,-1,-1
22,4,92,2,24,19,-1,-1,-1,-1
22,5,135,221,98,36,-1,-1,-1,-1
